,Fecha,Institución Financiera,Tipo,Subtipo,Valor,Tipo de moneda
99,4-2016,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,0.0,Dolar
100,5-2016,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,0.0,Dolar
101,6-2016,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,0.0,Dolar
102,7-2016,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,0.0,Dolar
103,8-2016,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,0.0,Dolar
104,9-2016,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,0.0,Dolar
105,10-2016,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,0.0,Dolar
106,11-2016,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,0.0,Dolar
107,12-2016,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,0.0,Dolar
108,1-2017,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,0.0,Dolar
109,2-2017,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,0.0,Dolar
110,3-2017,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,0.0,Dolar
111,4-2017,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,0.0,Dolar
112,5-2017,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,0.0,Dolar
113,6-2017,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,0.0,Dolar
114,7-2017,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,15.0,Dolar
115,8-2017,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,17.0,Dolar
116,9-2017,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,19.0,Dolar
117,10-2017,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,28.0,Dolar
118,11-2017,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,14.0,Dolar
119,12-2017,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,21.0,Dolar
120,1-2018,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,65.0,Dolar
121,2-2018,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,55.0,Dolar
122,3-2018,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,13.0,Dolar
123,4-2018,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,57.0,Dolar
124,5-2018,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,110.0,Dolar
125,6-2018,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,118.0,Dolar
126,7-2018,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,91.0,Dolar
127,8-2018,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,99.0,Dolar
128,9-2018,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,56.0,Dolar
129,10-2018,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,66.0,Dolar
130,11-2018,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,73.0,Dolar
131,12-2018,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,84.0,Dolar
132,1-2019,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,144.0,Dolar
133,2-2019,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,100.0,Dolar
134,3-2019,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,116.0,Dolar
135,4-2019,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,117.0,Dolar
136,5-2019,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,138.0,Dolar
137,6-2019,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,136.0,Dolar
138,7-2019,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,138.0,Dolar
139,8-2019,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,146.0,Dolar
140,9-2019,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,279.0,Dolar
141,10-2019,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,242.0,Dolar
142,11-2019,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,218.0,Dolar
143,12-2019,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,281.0,Dolar
144,1-2020,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,218.0,Dolar
145,2-2020,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,218.0,Dolar
146,3-2020,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,257.0,Dolar
147,4-2020,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,259.0,Dolar
148,5-2020,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,261.0,Dolar
149,6-2020,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,236.0,Dolar
150,7-2020,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,340.0,Dolar
151,8-2020,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,289.0,Dolar
152,9-2020,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,442.0,Dolar
153,10-2020,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,483.0,Dolar
154,11-2020,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,438.0,Dolar
155,12-2020,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,428.0,Dolar
156,1-2021,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,401.0,Dolar
157,2-2021,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,415.0,Dolar
158,3-2021,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,392.0,Dolar
159,4-2021,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,525.0,Dolar
160,5-2021,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,577.0,Dolar
161,6-2021,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,558.0,Dolar
162,7-2021,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,521.0,Dolar
163,8-2021,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,529.0,Dolar
164,9-2021,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,531.0,Dolar
165,1-2008,Banco Bice,Depósito,Depósitos a plazo,131.0,Dolar
166,2-2008,Banco Bice,Depósito,Depósitos a plazo,146.0,Dolar
167,3-2008,Banco Bice,Depósito,Depósitos a plazo,136.0,Dolar
168,4-2008,Banco Bice,Depósito,Depósitos a plazo,119.0,Dolar
169,5-2008,Banco Bice,Depósito,Depósitos a plazo,136.0,Dolar
